type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,n_from,n_to
3,2772.946464,2.122,4,0.268226426,12,4.321089555,-0.071092904,1.055917991,1.818199228,-2.602576378,-23.9728842,88.48765723,49.57157575,-292.8224011,1875.888907,743.7775205,0,153.9508491,2486.308852,7211.009181,-3649.025068,-53.04886368,907.723961,1779.81651,-2431.192663,1344.773165,2213.552098,7609.819391,0,2038.382983,26727.73591,69683.3544,-38356.62231,18103.52049,295469.7873,638651.8778,-577753.8865,0.109,57,71
3,1200.745618,1.763,7,0.893571062,11,12.08534823,0.086543134,0.25082301,0.741390623,-0.061706707,-24.06570371,89.1687062,47.17940334,-289.661399,1742.292113,1072.951537,3,864.0375521,1559.716037,3761.46789,-137.6146788,-71.68108849,188.6104423,72,-584,956.8421847,1507.206203,3761.46789,0,170.1850257,13288.29175,31900.11596,-22129.32173,1001.54151,154541.6227,292661.6146,-268728.0015,0.218,72,84
3,993.5051114,2.512,2,0.760245595,15,17.38337324,0.012931795,0.33697367,0.785398163,-0.84046407,-13.46037231,53.96394685,15.59879134,-203.4443936,710.2560574,755.3078842,0,7.895772312,562.0557917,1680.851064,-718.0851071,469.4934059,695.1689463,1893.617021,-32.25806448,599.9602692,799.8605819,2532.004289,0,553.6892951,10302.50205,26926.47381,-11981.7052,210.5475658,158243.0272,286887.3573,-356955.7708,0.188,85,101
3,627.1275832,2.714,6,0.19296955,10,-4.799091338,0.755057218,2.204949003,6.25502374,-0.197939152,2.542293563,18.88747651,50.04018992,-26.42690517,310.6517819,121.0165278,0,36.75838304,804.5106955,1247.70642,-1302.752294,-84.02557173,133.1694537,0,-431.1926598,544.4371667,559.4382281,1320.113033,0,587.7301877,7559.655995,11973.50983,-10362.15243,-7966.7035,96695.67568,113245.7871,-153667.1018,0.109,102,113
3,336.7808586,1.529,4,0.963881078,12,-20.01058068,-0.048038885,0.116976509,0.274463938,-0.523598776,22.22205182,84.96349786,281.9842099,-55.66814324,159.3510145,324.616697,1,-236.6189615,318.6777063,0,-1045.87156,-100.8085838,146.6887369,0,-382.978723,266.2201558,342.7713581,1079.181452,0,524.3839441,4188.261186,6255.346926,-6734.063555,5490.517903,65159.8083,128845.4842,-96287.55375,0.483,114,127
3,713.1011662,17.566,0,0.115408924,33,0.229973607,-0.029372459,0.150745336,0.346770959,-0.785398163,-8.300135876,32.60554797,20.17485446,-157.0796327,152.0931709,82.29823813,3,52.89113338,275.576407,1100,-725.8064528,-34.19467577,341.4819574,1169.354841,-1300,219.8294104,381.3419366,1702.938637,0,4739.719358,30529.13917,170293.8637,-16141.85355,476484.8848,3031776.698,17029466.27,-1451957.229,9.142,130,164
3,350.9183491,2.216,7,0.811649641,12,-9.009819276,-0.002750131,0.039482001,0.056310724,-0.067482266,5.722305272,23.47009939,78.53981634,-9.246789661,107.8916617,284.8227519,1,156.5148618,464.5146312,1605.504589,-209.6774192,-121.8035229,180.3980645,0,-633.0275235,241.7684641,475.1022356,1725.79513,0,-225.1989468,7495.651997,15814.61586,-17291.84709,-8064.169582,131224.8283,157507.0811,-352196.4141,1.108,165,178
3,413.3889866,1.419,5,0.106024145,12,-0.097785782,-0.00041449,0.103929992,0.285387601,-0.286878744,-6.722308916,32.48937427,27.72352275,-98.27937232,465.2376381,43.829214,0,40.86267901,317.0859506,495.4128445,-733.9901478,13.06251325,224.0706032,284.4036697,-566.5024631,245.6767421,285.6485013,927.1820629,0,2.150637749,2730.451182,4391.466883,-3792.983206,-105.2344379,36870.159,54537.0704,-71580.34254,0.218,179,192
3,5545.387596,5.663,7,0.271313851,31,-21.61283381,0.219556248,0.981124826,4.570491926,-0.352308425,7.048751274,60.69893049,267.2480618,-157.0796327,1817.270502,1504.540461,2,451.9496258,2399.944683,7191.489354,-6480,25.34596253,957.7506433,3516.129028,-2706.422021,1389.999364,2198.78988,7191.772617,0,1228.235986,25115.51379,59779.15904,-57247.96423,-117924.6999,820173.657,587088.338,-4007497.658,0.109,193,225
3,2371.520726,2.028,2,0.212809892,13,6.61464933,0.004948598,0.081319892,0.236732092,-0.097772875,-1.192063718,10.21500391,24.82183538,-13.90465241,529.050837,504.6830689,2,-99.62135593,2714.29903,7099.999994,-4954.545464,339.8454921,983.635122,2990.909096,-1163.636363,1566.457591,2370.342928,7194.723726,0,113.278218,27108.36379,65152.91945,-50340.56493,-765.6214575,418115.5785,594682.7372,-757080.7802,0.219,226,240
